url,res_code,content_type,res_time,redirect_url
www.osi.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.086619s,https://www.osi.tsukuba.ac.jp/
www.pas.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.074772s,https://grad.pas.tsukuba.ac.jp/
www.pe.ska.life.tsukuba.ac.jp,301,text/html,0.114443s,https://www.pe.ska.life.tsukuba.ac.jp/
www.press.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.086941s,https://www.press.tsukuba.ac.jp/
www.rcdh.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.076167s,https://www.jinsha.tsukuba.ac.jp/
www.research-fund.sec.tsukuba.ac.jp,301,text/html,0.226587s,https://www.research-fund.sec.tsukuba.ac.jp/
www.ri-center.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.173545s,http://www.ied.tsukuba.ac.jp/
www.roboken.iit.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.090112s,https://www.roboken.iit.tsukuba.ac.jp/
www.sanrenhonbu.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.081236s,https://www.sanrenhonbu.tsukuba.ac.jp/
www.sk.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.104872s,https://www.sk.tsukuba.ac.jp/
www.sohosai.tsukuba.ac.jp,301,text/html,0.069380s,https://www.sohosai.tsukuba.ac.jp/
www.sugadaira.tsukuba.ac.jp,301,text/html,0.126979s,https://www.sugadaira.tsukuba.ac.jp/
www.tara.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.075227s,https://www1.tara.tsukuba.ac.jp/
www.trios.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.077771s,https://trios.tsukuba.ac.jp/
www.tsukuba.ac.jp,301,text/html,0.431982s,https://www.tsukuba.ac.jp/
www.u.tsukuba.ac.jp,301,text/html; charset=UTF-8,0.563534s,https://www.u.tsukuba.ac.jp/
yui.kz.tsukuba.ac.jp,301,text/html; charset=iso-8859-1,0.083816s,https://yui.kz.tsukuba.ac.jp/
